ticker,official_name,name,description,sector,industry,website,shortname
ABIO,iАРТГЕН ао,"ПАО ""Артген""",Unknown,Здравоохранение,Услуги по уходу за больными,http://www.hsci.ru/,iАРТГЕН ао
ABRD,АбрауДюрсо,Абрау-Дюрсо ПАО - обыкн.,Unknown,Потребительские товары недлительного пользования,Напитки: алкогольные,http://www.abraudurso.ru/,АбрауДюрсо
AFKS,Система ао,"АФК ""Система"" ПАО - обыкн.",Unknown,Связь,Беспроводные телекоммуникации,http://www.sistema.ru/,Система ао
AFLT,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,"ПАО «Аэрофлот — Российские авиалинии» осуществляет полёты и коммерческую деятельность на воздушных линиях. Компания предоставляет услуги пассажирских и грузовых авиаперевозок как внутри страны, так и на международном уровне, наряду с другими авиационными сервисами. Аэрофлот осуществляет свою деятельность посредством двух бизнес-сегментов: Авиаперевозки и Прочее. Компания была основана 17 марта 1932 года. Штаб-квартира расположена в Москве, Россия.",Транспорт,Авиакомпании,http://www.aeroflot.ru/,Аэрофлот
ALRS,АЛРОСА ао,АЛРОСА ПАО - обыкн.,"ПАО АК Алроса (ПАО Акционерная компания Алроса), ранее известная как ОАО АК Алроса, — это российская компания, которая в основном занимается разведкой, добычей, производством и продажей алмазов. Она управляет пятью интегрированными горно-обогатительными комплексами: Мирный, Удачный, Айхал, Анабар и Нюрба, расположенными в Республике Саха; сортировочным подразделением и подразделением по гранению и полировке алмазов. Компания является членом множества алмазных организаций. Она осуществляет свою деятельность через несколько представительств, отделений и дочерних компаний, включая ОАО Алроса–Нюрба, ОАО Алмазы Анабара и ОАО Севералмаз.",Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.alrosa.ru/,АЛРОСА ао
AMEZ,АшинскийМЗ,Ашинский метзавод ПАО - обыкн.,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.amet.ru/,АшинскийМЗ
APRI,АПРИ,АПРИ,Unknown,Unknown,Unknown,Unknown,АПРИ
APTK,Аптеки36и6,"ПАО ""Аптечная сеть 36,6"" - обыкн.",Unknown,Розничная торговля,Аптечные сети,http://pharmacychain366.ru/,Аптеки36и6
ARSA,Арсагера,УК Арсагера ПАО - обыкн.,Unknown,Финансы,Управление инвестициями,http://www.arsagera.ru/,Арсагера
ASSB,АстрЭнСб,"""Астраханская ЭСК"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.astsbyt.ru/,АстрЭнСб
BISVP,БашИнСв ап,Башинформсвязь(ПАО) - прив.,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.rostelecom-rb.ru/,БашИнСв ап
BLNG,Белон ао,Белон ОАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.belon.ru/,Белон ао
BSPB,БСП ао,"ПАО ""Банк ""Санкт-Петербург"" - обыкн.",Unknown,Финансы,Региональные банки,http://www.bspb.ru/,БСП ао
BSPBP,БСП ап,Банк Санкт-Петербург - прив.,Unknown,Финансы,Региональные банки,http://www.bspb.ru/,БСП ап
CARM,СТГ,СТГ - обыкн.,Unknown,Unknown,Unknown,Unknown,СТГ
CBOM,МКБ ао,"""МКБ"" ПАО - обыкн.",Unknown,Финансы,Региональные банки,http://www.mkb.ru/,МКБ ао
CHGZ,РН-ЗапСиб,РН-Западная Сибирь ПАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Нефтегазовое производство,Unknown,РН-ЗапСиб
CNTL,Телеграф,"""Центральный Телеграф"" ПАО - обыкн.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Телеграф
CNTLP,Телеграф-п,"""Центральный Телеграф"" ПАО - прив.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Телеграф-п
DIOD,ЗаводДИОД,Завод ДИОД ПАО - обыкн.,Unknown,Медицинские технологии,Фармацевтические товары: прочие лекарственные средства,http://www.diod.ru/,ЗаводДИОД
DVEC,ДЭК ао,"""ДЭК"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.dvec.ru/,ДЭК ао
EELT,ЕвроЭлтех,"""ЕвропЭлектротехника"" ПАО - обыкн.",Unknown,Электронные технологии,Электронные комплектующие,http://www.euroetpao.ru/,ЕвроЭлтех
ELFV,ЭЛ5Энер ао,"""ЭЛ5-Энерго"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.enel.ru/,ЭЛ5Энер ао
ELMT,Элемент,Элемент,Unknown,Unknown,Unknown,Unknown,Элемент
FEES,Россети,"""ФСК - Россети"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.fsk-ees.ru/,Россети
FESH,ДВМП ао,ДВ морское пароходство ПАО - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.fesco.ru/,ДВМП ао
FLOT,Совкомфлот,Совкомфлот - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.sovcomflot.ru/,Совкомфлот
GAZA,ГАЗ ао,ГАЗ ПАО - обыкн.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,ГАЗ ао
GAZAP,ГАЗ ап,ГАЗ ПАО - прив.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,ГАЗ ап
GAZC,ГАЗКОН-ао,ГАЗКОН (ПАО) - обыкн.,Unknown,Финансы,Финансовые конгломераты,http://www.gazcon.ru/,ГАЗКОН-ао
GAZP,ГАЗПРОМ ао,"""Газпром"" (ПАО) - обыкн.","ПАО «Газпром» — транснациональная энергетическая компания. Газпром специализируется на геологоразведке, добыче, транспортировке, хранении, переработке и сбыте газа, газового конденсата и нефти, продаже газа в качестве автомобильного топлива, а также производстве и сбыте тепловой и электрической энергии. Компания осуществляет свою деятельность посредством следующих сегментов: Добыча газа, Транспортировка, Сбыт газа, Хранение газа, Добыча нефти и газового конденсата, Нефтепереработка, а также Производство и продажа электрической и тепловой энергии. Газодобывающий сегмент занимается изучением и добычей газа, в то время как сегмент транспортировки осуществляет его перевозки. В сегмент сбыта газа входит продажа газа как в пределах Российской Федерации, так и за её заграницами. Сегмент газохранения отвечает за хранение добытого и приобретенного газа в подземных хранилищах. Сегмент добычи сырой нефти и газового конденсата занимается изучением, добычей и продажей нефти и газового конденсата. Нефтеперерабатывающий сегмент осуществляет очистку нефти, газового конденсата и других углеводородов, а также занимается продажей продуктов нефтепереработки. Компания была основана в 1989 году. Штаб-квартира расположена в Москве, Россия.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.gazprom.ru/,ГАЗПРОМ ао
GAZS,ГАЗ-сервис,ГАЗ-сервис (ПАО) - обыкн.,Unknown,Финансы,"Инвестиционные банки, брокеры",http://www.gaz-services.ru/,ГАЗ-сервис
GAZT,ГАЗ-Тек ао,ГАЗ-Тек ПАО - обыкн.,Unknown,Финансы,"Инвестиционные банки, брокеры",Unknown,ГАЗ-Тек ао
GECO,iГЕНЕТИКО,ЦГРМ ГЕНЕТИКО - обыкн.,Unknown,Unknown,Unknown,Unknown,iГЕНЕТИКО
GEMA,iММЦБ ао,ПАО ММЦБ - обыкн.,Unknown,Медицинские технологии,Биотехнологии,Unknown,iММЦБ ао
GMKN,ГМКНорНик,"ГМК ""Нор.Никель"" ПАО - обыкн.","ПАО ГМК Норильский Никель занимается исследованием, добычей и переработкой руды и неметаллических минералов, а также продажей черных и цветных металлов, добытых из руды. Подразделения компании включают в себя: ГМК Груп, которое отвечает за добычу и металлургию, транспортные услуги, энергию, ремонтные и сервисные услуги на Таймырском полуострове; КГМК Груп, которое ведёт добычу и металлургические операции, энергетические операции и геологоразведку на Кольском полуострове; Norilsk Nickel Harjavalta, отвечающее за операции по нефтепереработке в Финляндии; Другие металлургические предприятия, включающие в себя металлургическую деятельность и геологоразведку в России и за рубежом, и Другие неметаллургические предприятия, включают в себя торговлю металлом и другими товарами, управление цепью снабжения, транспортные услуги, энергию и энергетику, исследования и другую деятельность в России и за рубежом. Производственные мощности компании расположены на Таймырском и Кольском полуостровах в России и в Финляндии.",Несырьевые полезные ископаемые,Прочие металлы и минералы,http://nornickel.com/,ГМКНорНик
GTRK,ГТМ ао,"ПАО ""ГТМ"" - обыкн.",Unknown,Транспорт,Грузоперевозки,http://www.gt-m.ru/,ГТМ ао
HIMCP,Химпром ап,Химпром ПАО - прив.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.himprom.com/,Химпром ап
HYDR,РусГидро,"ПАО ""РусГидро""","ПАО Федеральная гидрогенерирующая компания — РусГидро, ранее известная как ОАО «Федеральная гидрогенерирующая компания — РусГидро» и ОАО ГидроОГК, — это российская компания, которая занимается генерацией, передачей и поставками электроэнергии на оптовый рынок РФ. Основная деятельность компании состоит в производстве электроэнергии из возобновляемых источников, развитии электрогенерации с использованием течения воды, приливов, ветра и геотермальной энергии. Компания осуществляет свою деятельность посредством множества подразделения на всей территории Российской Федерации.",Коммунальные услуги,Электроэнергетика,http://www.eng.rushydro.ru/,РусГидро
IRAO,ИнтерРАОао,"""Интер РАО"" ПАО - обыкн.","ПАО Интер РАО ЕЭС, ранее известная как ОАО Интер РАО ЕЭС, — это расположенная в России компания, работающая в секторе энергетики. Она занимается производством, распространением и продажей термальной и электроэнергии, экспортом и импортом электроэнергии, торговлей электроэнергией на внутреннем и внешнем рынках, розничной продажей электроэнергии и управлением зарубежными активами. Компания торгует электроэнергией на внутреннем и внешнем рынках, последний включает помимо прочих Финляндию, Беларусь, Литву, Грузию, Украину и Турцию. У ПАО Интер РАО ЕЭС есть несколько представительств и местных отделений в Бельгии, Эквадоре и Кубе, через которые оно осуществляет свою деятельность.",Коммунальные услуги,Электроэнергетика,http://www.interrao.ru/,ИнтерРАОао
IRKT,Яковлев-3,"""Яковлев"" ПАО ак.об.-3",Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://yakovlev.ru/,Яковлев-3
JNOS,Славн-ЯНОС,Славнефть-ЯНОС (ПАО) - обыкн.,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.refinery.yaroslavl.ru/,Славн-ЯНОС
JNOSP,Слав-ЯНОСп,Славнефть-ЯНОС (ПАО) - прив.,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.refinery.yaroslavl.ru/,Слав-ЯНОСп
KAZT,Куйбазот,Куйбышевазот ПАО - обыкн.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.kuazot.ru/,Куйбазот
KAZTP,Куйбазот-п,Куйбышевазот ПАО - прив.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.kuazot.ru/,Куйбазот-п
KBSB,ТНСэКубань,ТНС энерго Кубань ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://corp.tns-e.ru/,ТНСэКубань
KCHE,КамчатЭ ао,Камчатскэнерго ПАО - обыкн.,Unknown,Коммунальные услуги,Альтернативные источники энергии,http://www.kamenergo.ru/,КамчатЭ ао
KCHEP,КамчатЭ ап,Камчатскэнерго ПАО - прив.,Unknown,Коммунальные услуги,Альтернативные источники энергии,http://www.kamenergo.ru/,КамчатЭ ап
KGKC,КурганГКао,Курганская генер.комп.ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.kgk-kurgan.ru/,КурганГКао
KGKCP,КурганГКап,Курганская генер. комп. ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.kgk-kurgan.ru/,КурганГКап
KLSB,КалужскСК,"""Калужская сбыт.комп.""ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.ksc.kaluga.ru/,КалужскСК
KLVZ,Кристалл,Алкогольная Группа Кристалл,Unknown,Unknown,Unknown,Unknown,Кристалл
KMAZ,КАМАЗ,КАМАЗ ПАО,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",http://www.kamaz.ru/,КАМАЗ
KRKOP,ТКЗКК ап,ТКЗ Красный котельщик ПАО - прив.,Unknown,Промышленное производство,Промышленное оборудование,http://www.tkz.su/,ТКЗКК ап
KROT,КрасОкт-ао,"""КрасныйОктябрь"" ПАО - - обыкн.",Unknown,Потребительские товары недлительного пользования,Пищевая промышленность: деликатесы и кондитерские изделия,http://www.konfetki.ru/,КрасОкт-ао
KROTP,КрасОкт-1п,КрасныйОктябрь-1п,Unknown,Потребительские товары недлительного пользования,Пищевая промышленность: деликатесы и кондитерские изделия,http://www.konfetki.ru/,КрасОкт-1п
KRSB,Красэсб ао,Красноярскэнергосбыт - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/,Красэсб ао
KRSBP,Красэсб ап,Красноярскэнергосбыт - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/,Красэсб ап
KUZB,КузнецкийБ,"Банк ""Кузнецкий"" ПАО - обыкн.",Unknown,Финансы,Региональные банки,http://www.kuzbank.ru/,КузнецкийБ
KZOS,ОргСинт ао,"ПАО ""Органический синтез"" - обыкн.",Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/,ОргСинт ао
KZOSP,ОргСинт ап,"ПАО ""Органический синтез"" - прив.",Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/,ОргСинт ап
LIFE,Фармсинтез,Фармсинтез ПАО - обыкн.,Unknown,Медицинские технологии,Фармацевтические товары,http://www.pharmsynthez.com/,Фармсинтез
LPSB,ЛЭСК ао,Липецкая энергосбыт.ком.ОАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lesk.ru/,ЛЭСК ао
LSNG,РСетиЛЭ,Россети Ленэнерго ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/,РСетиЛЭ
LSNGP,РСетиЛЭ-п,Россети Ленэнерго ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/,РСетиЛЭ-п
LVHK,Левенгук,Левенгук ПАО - обыкн.,Unknown,Электронные технологии,Электронные комплектующие,http://www.levenhuk.ru/,Левенгук
MAGE,МагадЭн ао,"""Магаданэнерго"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,Unknown,МагадЭн ао
MAGEP,МагадЭн ап,"""Магаданэнерго"" ПАО - прив.",Unknown,Коммунальные услуги,Электроэнергетика,Unknown,МагадЭн ап
MAGN,ММК,"""Магнитогорск.мет.комб"" ПАО - обыкн.","ОАО Магнитогорский металлургический комбинат (ОАО ММК) — это расположенная в России компания, ведущая деятельность в сталелитейной сфере. Её основная продукция — это агломерат, кокс, железо, сырая сталь, руда и прокатные продукты. Компания предлагает большой спектр продуктов, таких как прут, арматура, арматура для железобетона, круглая и плоская арматура и другие. ОАО Магнитогорский металлургический комбинат является поставщиком для таких индустрий, как: трубопроводы, машиностроение, железные дороги, строительство и судостроение и другие. Компания работает в РФ и экспортирует свою продукцию в СНГ, Азию, Ближний Восток и страны Европы.",Несырьевые полезные ископаемые,Сталь,http://www.mmk.ru/,ММК
MFGS,Мегион-ао,"""Славнефть-Мегионнефтегаз"" - обыкн.",Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/,Мегион-ао
MFGSP,Мегион-ап,ап Мегионнефтегаз,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/,Мегион-ап
MGKL,МГКЛ,МГКЛ - обыкн.,Unknown,Unknown,Unknown,Unknown,МГКЛ
MISB,ТНСэнМарЭл,ТНС энерго Марий Эл ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/,ТНСэнМарЭл
MISBP,ТНСэМаЭл-п,ТНС энерго Марий Эл ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/,ТНСэМаЭл-п
MOEX,МосБиржа,ПАО Московская Биржа,"ПАО «Московская Биржа ММВБ-РТС» — биржевой холдинг, управляющий Московской фондовой биржей. Компания занимается торговлей, клиринговыми и расчетными услугами на денежном, валютном и товарном рынках, а также операциями на рынках государственных ценных бумаг, производных финансовых инструментов, акций, корпоративных и региональных облигаций. Помимо этого, компания предоставляет услуги по организации электронной торговли, клирингу и расчетам по сделкам, а также кастодиальные и информационные услуги. Кроме того, она ведет торговлю акциями, облигациями, деривативами, валютой, инструментами денежного и товарного рынков. Московская Биржа осуществляет свою деятельность посредством следующих сегментов: Торговые услуги, Клиринговые услуги, Расчетно-депозитарные услуги. Сегмент торговых услуг предоставляет услуги, связанные с торговлей на валютном рынке, рынке ценных бумаг, рынке деривативов и денежном рынке, листинг и прочее. Сегмент клиринговых услуг включает в себя в основном клиринговые услуги в роли центрального контрагента и другие клиринговые услуги. В сегмент расчетно-депозитарных услуг входит оказание участникам биржевого и внебиржевого рынков услуг по регистрации внебиржевых сделок (репозитарные услуги), управлению обеспечением, а также информационные услуги. Компания была основана 13 марта 1992 года. Штаб-квартира расположена в Москве, Россия.",Финансы,"Инвестиционные банки, брокеры",http://www.moex.com/,МосБиржа
MRKC,РоссЦентр,"ПАО ""Россети Центр"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-1.ru/,РоссЦентр
MRKK,Россети СК,Россети Сев. Кавказ - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sk.ru/,Россети СК
MRKP,РСетиЦП ао,Россети Центр и Приволжье - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-cp.ru/,РСетиЦП ао
MRKS,РсетСиб ао,Россети Сибирь - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sib.ru/,РсетСиб ао
MRKU,Россети Ур,Россети Урал (ПАО) - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-ural.ru/,Россети Ур
MRKV,РсетВол ао,Россети Волга - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-volgi.ru/,РсетВол ао
MRKY,РоссЮг ао,Россети Юг (ПАО) - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,Unknown,РоссЮг ао
MRKZ,РСетиСЗ ао,ПАО Россети Северо-Запад - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsksevzap.ru/,РСетиСЗ ао
MRSB,МордЭнСб,Мордовск.энергсбыт.комп.ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mesk.ru/,МордЭнСб
MSNG,+МосЭнерго,МосЭнерго акции обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mosenergo.ru/,+МосЭнерго
MSRS,РСетиМР ао,ПАО Россети Моск.рег. - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rossetimr.ru/,РСетиМР ао
MSTT,Мостотрест,"ПАО ""МОСТОТРЕСТ"" - обыкн.",Unknown,Производственно-технические услуги,Инженерные и строительные услуги,http://www.mostotrest.ru/,Мостотрест
MTLRP,Мечел ап,Мечел ПАО - прив.,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/,Мечел ап
MTSS,МТС-ао,Мобильные ТелеСистемы ПАО - обыкн.,"ПАО «Мобильные ТелеСистемы» (МТС) — провайдер мобильной и фиксированной связи и цифровых услуг. Компания предоставляет беспроводной и широкополосный доступ в интернет, а также платное телевидение. МТС осуществляет свою деятельность посредством следующих сегментов: Россия — Конвергент, Московские фиксированные линии, Украина, МТС Банк и Прочее. Сегмент Россия — Конвергент занимается мобильными и фиксированными связями; в него также входят сервисы для клиентов российских регионов: услуги голосовой связи и передачи данных, широкополосный доступ в интернет, платное телевидение, а также различные дополнительные услуги и торговые операции. В сегмент московских фиксированных линий входит проведение операций на линиях фиксированной связи в Москве, выполняемых дочерней компанией. Украинский сегмент отвечает за поставку услуг мобильной и фиксированной связи для многочисленных регионов Украины. Сегмент МТС Банк предоставляет банковские услуги для клиентов в регионах России. Компания была основана в 1993 году. Штаб-квартира расположена в Москве, Россия.",Связь,Беспроводные телекоммуникации,http://www.mts.ru/,МТС-ао
NAUK,iНПОНаука,НПО Наука - обыкн.,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.npo-nauka.ru/,iНПОНаука
NFAZ,НЕФАЗ,НЕФАЗ ПАО - обыкн.,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.nefaz.ru/,НЕФАЗ
NKHP,НКХП ао,НКХП ПАО - обыкн.,Unknown,Транспорт,Прочие виды транспорта,http://www.novoroskhp.ru/,НКХП ао
